Brand,Model,DefaultBodyType
Abarth,595,Hatchback
Abarth,695,Hatchback
Alfa,Romeo,Hatchback
Aston,Martin,Convertible
Audi,A1,Hatchback
Audi,A3,Sedan
Audi,A4,Sedan
Audi,A5,Coupe
Audi,A6,Sedan
Audi,A7,Hatchback
Audi,E-Tron,SUV
Audi,Q2,SUV
Audi,Q3,SUV
Audi,Q5,SUV
Audi,Q7,SUV
Audi,Q8,SUV
Audi,R8,Coupe
Audi,RS,SUV
Audi,RS3,Hatchback
Audi,RS4,Wagon
Audi,RS5,Hatchback
Audi,RS6,Wagon
Audi,S3,Sedan
Audi,S4,Sedan
Audi,S5,Hatchback
Audi,SQ2,SUV
Audi,SQ5,SUV
Audi,SQ7,SUV
Audi,SQ8,SUV
Audi,TT,Coupe
BMW,1,Hatchback
BMW,116I,Hatchback
BMW,118D,Hatchback
BMW,118I,Hatchback
BMW,120D,Hatchback
BMW,120I,Hatchback
BMW,125I,Hatchback
BMW,128TI,Hatchback
BMW,135I,Coupe
BMW,2,Coupe
BMW,218D,Hatchback
BMW,218I,Hatchback
BMW,220D,Coupe
BMW,220I,Coupe
BMW,225I,Hatchback
BMW,228I,Coupe
BMW,230I,Coupe
BMW,3,nan
BMW,316I,Sedan
BMW,320D,Sedan
BMW,320I,Sedan
BMW,323I,Coupe
BMW,325I,Coupe
BMW,328I,Sedan
BMW,330D,Sedan
BMW,330I,Sedan
BMW,335I,Coupe
BMW,340I,Sedan
BMW,4,Hatchback
BMW,420D,Coupe
BMW,420I,Coupe
BMW,428I,Coupe
BMW,430I,Hatchback
BMW,435I,Coupe
BMW,5,nan
BMW,520D,Sedan
BMW,530D,Sedan
BMW,530I,Sedan
BMW,6,Convertible
BMW,7,nan
BMW,730D,Sedan
BMW,740I,Sedan
BMW,I3,Hatchback
BMW,I4,Sedan
BMW,I8,Coupe
BMW,IX,SUV
BMW,M135I,Hatchback
BMW,M140I,Hatchback
BMW,M2,Coupe
BMW,M235I,Coupe
BMW,M240I,Coupe
BMW,M3,Sedan
BMW,M340I,Sedan
BMW,M4,Coupe
BMW,M440I,Coupe
BMW,M5,Sedan
BMW,M6,Convertible
BMW,M8,Coupe
BMW,X1,SUV
BMW,X2,SUV
BMW,X3,SUV
BMW,X4,SUV
BMW,X5,SUV
BMW,X6,SUV
BMW,X7,SUV
BMW,Z4,Convertible
BYD,Atto,SUV
Bentley,Arnage,Sedan
Bentley,Continental,Coupe
Chery,J11,SUV
Chery,J3,Hatchback
Chery,Omoda5,SUV
Chevrolet,Silverado,Ute / Tray
Chrysler,300,Sedan
Chrysler,300C,Sedan
Chrysler,Grand,Wagon
Chrysler,PT,Wagon
Chrysler,Sebring,Sedan
Citroen,Berlingo,Commercial
Citroen,C3,Hatchback
Citroen,C4,SUV
Citroen,C5,SUV
Citroen,DS3,Hatchback
Citroen,DS4,Wagon
Citroen,Grand,Wagon
Cupra,Ateca,SUV
Cupra,Born,Hatchback
Cupra,Formentor,SUV
Cupra,Leon,Hatchback
Daihatsu,Hijet,Ute / Tray
Dodge,Journey,Wagon
Dodge,Nitro,SUV
Dodge,Viper,Coupe
FPV,F6,Sedan
FPV,GS,nan
FPV,GT,Sedan
FPV,Pursuit,Ute / Tray
Fiat,500,Hatchback
Fiat,500X,SUV
Fiat,Doblo,Commercial
Fiat,Ducato,Commercial
Fiat,Freemont,SUV
Fiat,Panda,Hatchback
