Brand,Model,BodyType
Abarth,595,Hatchback
Abarth,695,Hatchback
Alfa,Romeo,Hatchback
Alfa,Romeo,SUV
Alfa,Romeo,Sedan
Alfa,Romeo,Wagon
Aston,Martin,Convertible
Aston,Martin,Coupe
Audi,A1,Hatchback
Audi,A3,Convertible
Audi,A3,Hatchback
Audi,A3,Other
Audi,A3,Sedan
Audi,A4,Sedan
Audi,A4,Wagon
Audi,A4,nan
Audi,A5,Convertible
Audi,A5,Coupe
Audi,A5,Hatchback
Audi,A5,Other
Audi,A6,Sedan
Audi,A7,Hatchback
Audi,E-Tron,SUV
Audi,Q2,SUV
Audi,Q2,Wagon
Audi,Q3,SUV
Audi,Q3,Wagon
Audi,Q5,SUV
Audi,Q5,Wagon
Audi,Q7,SUV
Audi,Q7,Wagon
Audi,Q8,SUV
Audi,R8,Coupe
Audi,RS,Hatchback
Audi,RS,Other
Audi,RS,SUV
Audi,RS,Sedan
Audi,RS3,Hatchback
Audi,RS3,Sedan
Audi,RS4,Wagon
Audi,RS5,Hatchback
Audi,RS6,Wagon
Audi,S3,Hatchback
Audi,S3,Other
Audi,S3,Sedan
Audi,S4,Convertible
Audi,S4,Sedan
Audi,S5,Coupe
Audi,S5,Hatchback
Audi,SQ2,SUV
Audi,SQ5,SUV
Audi,SQ7,SUV
Audi,SQ8,SUV
Audi,TT,Convertible
Audi,TT,Coupe
BMW,1,Hatchback
BMW,116I,Hatchback
BMW,118D,Convertible
BMW,118D,Hatchback
BMW,118I,Hatchback
BMW,120D,Hatchback
BMW,120I,Hatchback
BMW,125I,Coupe
BMW,125I,Hatchback
BMW,128TI,Hatchback
BMW,135I,Coupe
BMW,2,Coupe
BMW,218D,Hatchback
BMW,218I,Hatchback
BMW,218I,Sedan
BMW,220D,Coupe
BMW,220I,Convertible
BMW,220I,Coupe
BMW,220I,Hatchback
BMW,220I,Sedan
BMW,225I,Hatchback
BMW,228I,Coupe
BMW,230I,Coupe
BMW,3,Coupe
BMW,3,Hatchback
BMW,3,Wagon
BMW,3,nan
BMW,316I,Sedan
BMW,320D,Coupe
BMW,320D,Sedan
BMW,320D,Wagon
BMW,320I,Sedan
BMW,320I,Wagon
BMW,323I,Coupe
BMW,323I,Sedan
BMW,325I,Coupe
BMW,328I,Hatchback
BMW,328I,Sedan
BMW,330D,Sedan
BMW,330I,Sedan
BMW,330I,Wagon
BMW,335I,Coupe
BMW,340I,Sedan
BMW,4,Coupe
BMW,4,Hatchback
BMW,420D,Coupe
BMW,420I,Coupe
BMW,420I,Hatchback
BMW,428I,Convertible
BMW,428I,Coupe
BMW,430I,Coupe
BMW,430I,Hatchback
BMW,435I,Coupe
BMW,435I,Hatchback
BMW,5,Sedan
BMW,5,nan
BMW,520D,Sedan
BMW,520D,Wagon
BMW,530D,Sedan
BMW,530I,Sedan
BMW,6,Convertible
BMW,7,nan
BMW,730D,Sedan
BMW,740I,Sedan
BMW,I3,Hatchback
BMW,I4,Sedan
BMW,I8,Coupe
BMW,IX,SUV
BMW,IX,Wagon
BMW,M135I,Hatchback
BMW,M140I,Hatchback
BMW,M2,Coupe
BMW,M235I,Coupe
BMW,M235I,Sedan
BMW,M240I,Coupe
BMW,M3,Convertible
BMW,M3,Coupe
BMW,M3,Sedan
BMW,M3,nan
BMW,M340I,Sedan
BMW,M4,Convertible
BMW,M4,Coupe
BMW,M440I,Coupe
BMW,M5,Sedan
