Brand,Model
Audi,A3
Audi,Q3
Audi,Q5
BMW,X3
Ford,Everest
Ford,Falcon
Ford,Focus
Ford,Mustang
Ford,Ranger
Ford,Territory
GWM,Haval
GWM,UTE
Holden,Barina
Holden,Captiva
Holden,Colorado
Holden,Commodore
Holden,Cruze
Honda,CR-V
Honda,Civic
Hyundai,Accent
Hyundai,I30
Hyundai,Kona
Hyundai,Santa
Hyundai,Tucson
Isuzu,D-MAX
Isuzu,MU-X
Jeep,Grand
Jeep,Wrangler
Kia,Carnival
Kia,Cerato
Kia,RIO
Kia,Sorento
Kia,Sportage
Land,Rover
MG,HS
MG,MG3
MG,ZST
Mazda,2
Mazda,3
Mazda,6
Mazda,BT-50
Mazda,CX-3
Mazda,CX-5
Mazda,CX-9
Mitsubishi,ASX
Mitsubishi,Lancer
Mitsubishi,Outlander
Mitsubishi,Pajero
Mitsubishi,Triton
Nissan,Navara
Nissan,Pathfinder
Nissan,Qashqai
Nissan,X-Trail
Renault,Koleos
Subaru,Forester
Subaru,Impreza
Subaru,Outback
Subaru,WRX
Subaru,XV
Suzuki,Swift
Suzuki,Vitara
Toyota,C-HR
Toyota,Camry
Toyota,Corolla
Toyota,Estima
Toyota,HiAce
Toyota,Hilux
Toyota,Kluger
Toyota,Landcruiser
Toyota,RAV4
Toyota,Yaris
Volkswagen,Amarok
Volkswagen,Golf
Volkswagen,Polo
Volkswagen,Tiguan
