Brand,New_Price_b
Abarth,44824.0
Alfa,76830.0
Audi,129990.0
BMW,181392.49999999997
BYD,49950.0
Bentley,159990.0
Chery,37665.0
Chevrolet,128888.0
Citroen,59590.0
Cupra,69990.0
Daihatsu,31884.5
Fiat,29695.0
Ford,133189.99999999997
Foton,24999.0
GWM,52585.0
Genesis,99888.0
HSV,186188.59999999998
Haval,43768.0
Holden,92990.0
Honda,75298.29999999996
Hyundai,75785.0
Isuzu,75350.0
Jaguar,179990.0
Jeep,99389.99999999999
Kia,72154.0
LDV,51089.99999999999
Land,136286.4
Lexus,195244.5
MG,50850.00000000001
Mahindra,49650.0
Mazda,74710.4
Mercedes-Benz,145058.79999999996
Mini,73249.5
Mitsubishi,66760.0
Nissan,85328.8
Peugeot,64975.0
Porsche,169637.0
Ram,174981.5
Renault,71395.0
Skoda,73285.0
Ssangyong,56605.25
Subaru,64349.99999999999
Suzuki,45986.4
Tesla,101913.5
Toyota,129959.4
Volkswagen,97003.94999999998
Volvo,120990.0
