Brand,Model,New_Price_bm
Abarth,695,44824.0
Alfa,Romeo,76830.0
Audi,A1,54804.9
Audi,A3,65268.799999999996
Audi,A4,71461.6
Audi,A5,101888.4
Audi,E-Tron,159940.0
Audi,Q2,58009.0
Audi,Q3,69089.99999999999
Audi,Q5,94899.2
Audi,Q7,138909.0
Audi,RS,129286.0
Audi,S3,86797.6
Audi,S4,108588.0
Audi,SQ2,67910.0
Audi,SQ5,128990.5
BMW,1,69900.0
BMW,118I,57298.6
BMW,128TI,66980.0
BMW,2,100033.0
BMW,218I,66804.4
BMW,220I,74793.0
BMW,320I,86988.5
BMW,330I,96904.65
BMW,420I,83193.5
BMW,430I,108988.0
BMW,5,176998.0
BMW,530I,114980.0
BMW,I4,109990.0
BMW,IX,129738.0
BMW,M2,119900.0
BMW,M3,198654.4
BMW,M4,182238.0
BMW,X2,76898.0
BMW,X3,102118.0
BMW,X4,186290.0
BMW,X5,165910.4
BMW,Z4,89988.0
BYD,Atto,49950.0
Bentley,Arnage,159990.0
Chery,Omoda5,37665.0
Chevrolet,Silverado,128888.0
Citroen,C5,59590.0
Cupra,Ateca,61880.0
Cupra,Born,67990.0
Cupra,Formentor,69990.0
Cupra,Leon,63990.0
Daihatsu,Hijet,31884.5
Fiat,500,29695.0
Ford,Escape,52357.6
Ford,Everest,98712.0
Ford,F,199490.0
Ford,Focus,59990.0
Ford,Mustang,104489.99999999997
Ford,Puma,35662.0
Ford,Ranger,117740.0
Ford,Transit,68535.0
Foton,Tunland,24999.0
GWM,Haval,46414.25
GWM,ORA,45472.0
GWM,Steed,18990.0
GWM,Tank,56287.5
GWM,UTE,52888.75
GWM,Ute,53585.0
Genesis,G70,99888.0
HSV,Gtsr,189888.0
HSV,Senator,115900.0
Haval,H6,45099.75
Haval,Jolion,40390.0
Holden,Captiva,15990.0
Holden,Commodore,93990.0
Honda,CR-V,51490.0
Honda,Civic,78441.95
Honda,HR-V,36990.0
Hyundai,I20,47990.0
Hyundai,I30,66990.0
Hyundai,Kona,61447.1
Hyundai,Palisade,103012.89999999998
Hyundai,Santa,73286.59999999999
Hyundai,Sonata,56263.25
Hyundai,Staria,63632.0
Hyundai,Tucson,54827.799999999996
Hyundai,Venue,32872.1
Isuzu,D-MAX,71840.0
Isuzu,MU-X,75796.0
Jaguar,I-Pace,179990.0
Jeep,Compass,57552.8
Jeep,Gladiator,94949.2
Jeep,Grand,125013.0
Jeep,Wrangler,92698.2
Kia,Carnival,52343.45
Kia,Cerato,32990.0
Kia,EV6,90998.0
Kia,Niro,57953.299999999996
Kia,Picanto,23964.5
Kia,RIO,32040.0
Kia,Seltos,53663.2
Kia,Sorento,58074.5
Kia,Sportage,59798.1
Kia,Stinger,72918.0
Kia,Stonic,33715.9
LDV,D90,51490.0
LDV,Deliver,47890.9
LDV,G10,36990.0
LDV,G10+,36990.0
LDV,Mifa,117990.0
LDV,T60,46292.299999999996
LDV,V80,41565.0
Land,Rover,136286.4
